Boid,Speed
Boid13,2.181605,0.02
Boid14,1.080775,0.02
Boid15,2.063645,0.02
Boid16,2.180199,0.02
Boid17,1.185231,0.02
Boid18,4.123839,0.02
Boid19,3.86214,0.02
Boid20,3.181194,0.02
Boid21,3.252726,0.02
Boid22,1.070996,0.02
Boid23,4.125419,0.02
Boid24,2.103481,0.02
Boid25,2.627033,0.02
Boid26,2.974359,0.02
Boid27,3.989632,0.02
Boid28,3.141034,0.02
Boid29,4.222104,0.02
Boid30,3.809311,0.02
Boid31,2.365134,0.02
Boid32,1.896815,0.02
Boid33,3.243241,0.02
Boid34,3.458399,0.02
Boid35,1.178747,0.02
Boid36,3.131632,0.02
Boid37,2.575266,0.02
Boid38,4.140447,0.02
Boid39,2.120504,0.02
Boid40,1.547098,0.02
Boid41,4.162735,0.02
Boid42,1.203294,0.02
Boid43,2.590388,0.02
Boid44,2.666985,0.02
Boid45,3.243325,0.02
Boid46,1.868681,0.02
Boid47,2.688801,0.02
Boid48,2.16452,0.02
Boid49,1.831137,0.02
Boid50,4.120103,0.02
Boid51,3.545793,0.02
Boid52,2.872944,0.02
Boid53,4.823393,0.02
Boid54,4.542066,0.02
Boid55,1.338835,0.02
Boid56,3.912131,0.02
Boid57,4.269779,0.02
Boid58,3.625915,0.02
Boid59,2.15706,0.02
Boid60,1.675215,0.02
Boid61,2.356182,0.02
Boid62,4.449406,0.02
Boid63,1.825032,0.02
Boid64,3.807566,0.02
Boid65,4.031627,0.02
Boid66,2.895012,0.02
Boid67,4.255695,0.02
Boid68,4.23533,0.02
Boid69,1.495554,0.02
Boid70,4.479432,0.02
Boid71,4.448308,0.02
Boid72,2.893737,0.02
Boid73,2.725564,0.02
Boid74,4.848426,0.02
Boid75,3.829401,0.02
Boid76,2.84713,0.02
Boid77,2.035256,0.02
Boid78,1.14462,0.02
Boid79,4.236452,0.02
Boid80,4.548266,0.02
Boid81,4.143275,0.02
Boid82,1.748477,0.02
Boid83,4.798429,0.02
Boid84,1.565062,0.02
Boid85,1.012913,0.02
Boid86,2.803131,0.02
Boid87,4.185443,0.02
Boid88,1.41049,0.02
Boid89,3.711229,0.02
Boid90,1.900274,0.02
Boid91,3.360871,0.02
Boid92,1.119126,0.02
Boid93,3.901798,0.02
Boid94,1.859463,0.02
Boid95,4.022656,0.02
Boid96,3.894046,0.02
Boid97,4.951395,0.02
Boid98,3.850318,0.02
Boid99,3.231163,0.02
Boid100,4.341629,0.02
Boid101,2.962663,0.02
Boid102,4.967225,0.02
Boid103,4.622962,0.02
Boid104,4.730556,0.02
Boid105,2.233083,0.02
Boid106,4.465302,0.02
Boid107,3.12496,0.02
Boid108,2.370595,0.02
Boid109,2.092757,0.02
Boid110,2.51284,0.02
Boid111,2.027543,0.02
Boid112,2.033521,0.02
Boid113,1.144002,0.02
Boid114,2.593546,0.02
Boid115,4.819116,0.02
Boid116,3.525631,0.02
Boid117,1.118281,0.02
Boid118,2.686145,0.02
Boid119,2.344433,0.02
Boid120,4.307276,0.02
Boid121,2.090373,0.02
Boid122,4.755663,0.02
Boid123,1.686661,0.02
Boid124,2.653813,0.02
Boid125,1.100144,0.02
Boid126,2.051216,0.02
Boid127,3.501219,0.02
Boid128,3.01408,0.02
Boid129,2.437201,0.02
Boid130,4.003048,0.02
Boid131,2.48289,0.02
Boid132,4.090512,0.02
Boid133,1.679283,0.02
Boid134,1.851634,0.02
Boid135,2.272051,0.02
Boid136,1.775213,0.02
Boid137,1.909585,0.02
Boid138,2.311986,0.02
Boid139,1.576229,0.02
Boid140,2.566178,0.02
Boid141,4.073144,0.02
Boid142,1.44,0.02
Boid143,4.442615,0.02
Boid144,1.623856,0.02
Boid145,4.124013,0.02
Boid146,1.87775,0.02
Boid147,1.991817,0.02
Boid148,3.374327,0.02
Boid149,3.439666,0.02
Boid150,1.565018,0.02
Boid151,2.043632,0.02
Boid152,2.092195,0.02
Boid153,1.384544,0.02
Boid154,3.076064,0.02
Boid155,4.045624,0.02
Boid156,4.740099,0.02
Boid157,2.903406,0.02
Boid158,2.75961,0.02
Boid159,4.78031,0.02
Boid160,4.478967,0.02
Boid161,4.430326,0.02
Boid162,3.001731,0.02
Boid163,1.504008,0.02
Boid164,2.065533,0.02
Boid165,3.289135,0.02
Boid166,3.784586,0.02
Boid167,1.172566,0.02
Boid168,4.818393,0.02
Boid169,3.797807,0.02
Boid170,1.72072,0.02
Boid171,3.905722,0.02
Boid172,2.034358,0.02
Boid173,2.606504,0.02
Boid174,4.337227,0.02
Boid175,1.76143,0.02
Boid176,4.345349,0.02
Boid177,4.245793,0.02
Boid178,2.242969,0.02
Boid179,3.358225,0.02
Boid180,3.567807,0.02
Boid181,3.801396,0.02
Boid182,2.620112,0.02
Boid183,3.446431,0.02
Boid184,1.676309,0.02
Boid185,4.317997,0.02
Boid186,3.182971,0.02
Boid187,1.495706,0.02
Boid188,4.764421,0.02
Boid189,3.263739,0.02
Boid190,2.641528,0.02
Boid191,2.442487,0.02
Boid192,4.30322,0.02
Boid193,1.809927,0.02
Boid194,2.102556,0.02
Boid195,3.761309,0.02
Boid196,1.496089,0.02
Boid197,3.940609,0.02
Boid198,3.097901,0.02
Boid199,3.33656,0.02
Boid200,1.603881,0.02
Boid201,2.951594,0.02
Boid202,3.112316,0.02
Boid203,4.636791,0.02
Boid204,3.024899,0.02
Boid205,1.145321,0.02
Boid206,2.23563,0.02
Boid207,1.928843,0.02
Boid208,3.926724,0.02
Boid209,4.749891,0.02
Boid210,2.198556,0.02
Boid211,3.375991,0.02
Boid212,3.391447,0.02
Boid213,4.379383,0.02
Boid214,1.767966,0.02
Boid215,4.999943,0.02
Boid216,1.312182,0.02
Boid217,3.987473,0.02
Boid218,3.76416,0.02
Boid219,1.429574,0.02
Boid220,1.2064,0.02
Boid221,4.386931,0.02
Boid222,4.410818,0.02
Boid223,2.202048,0.02
Boid224,4.752251,0.02
Boid225,2.996603,0.02
Boid226,1.605165,0.02
Boid227,1.071566,0.02
Boid228,1.819031,0.02
Boid229,4.444267,0.02
Boid230,4.628014,0.02
Boid231,3.224025,0.02
Boid232,2.084635,0.02
Boid233,4.459086,0.02
Boid234,4.581718,0.02
Boid235,2.861562,0.02
Boid236,1.860284,0.02
Boid237,2.090997,0.02
Boid238,2.206182,0.02
Boid239,1.513113,0.02
Boid240,1.823609,0.02
Boid241,3.12028,0.02
Boid242,2.123387,0.02
Boid243,3.612185,0.02
Boid244,3.547451,0.02
Boid245,4.155087,0.02
Boid246,4.074764,0.02
Boid247,1.080552,0.02
Boid248,2.432746,0.02
Boid249,2.712062,0.02
Boid0,2.901866,0.3533334
Boid1,4.213333,0.3533334
Boid2,4.174588,0.3533334
Boid3,4.269248,0.3533334
Boid4,3.928509,0.3533334
Boid5,3.809738,0.3533334
Boid6,1.497351,0.3533334
Boid7,1.562894,0.3533334
Boid8,2.16801,0.3533334
Boid9,2.591207,0.3533334
Boid10,3.78873,0.3533334
Boid11,1.606781,0.3533334
Boid12,1.690683,0.3533334
Boid13,4.244339,0.3533334
Boid14,2.200145,0.3533334
Boid15,1.088652,0.3533334
Boid16,2.375074,0.3533334
Boid17,2.852176,0.3533334
Boid18,2.080199,0.3533334
Boid19,3.705714,0.3533334
Boid20,2.231119,0.3533334
Boid21,2.346708,0.3533334
Boid22,3.901038,0.3533334
Boid23,1.690178,0.3533334
Boid24,4.762861,0.3533334
Boid25,1.43113,0.3533334
Boid26,1.250453,0.3533334
Boid27,2.035418,0.3533334
Boid28,1.599387,0.3533334
Boid29,4.584143,0.3533334
Boid30,1.266479,0.3533334
Boid31,1.459053,0.3533334
Boid32,3.313279,0.3533334
Boid33,2.329296,0.3533334
Boid34,2.603189,0.3533334
Boid35,1.753732,0.3533334
Boid36,3.121621,0.3533334
Boid37,1.863538,0.3533334
Boid38,1.627025,0.3533334
Boid39,3.685356,0.3533334
Boid40,4.154551,0.3533334
Boid41,3.093772,0.3533334
Boid42,3.631695,0.3533334
Boid43,3.720705,0.3533334
Boid44,3.941998,0.3533334
Boid45,4.565877,0.3533334
Boid46,3.012578,0.3533334
Boid47,4.849975,0.3533334
Boid48,3.866415,0.3533334
Boid49,2.117328,0.3533334
Boid50,3.469792,0.3533334
Boid51,1.037435,0.3533334
Boid52,4.290741,0.3533334
Boid53,2.281492,0.3533334
Boid54,2.837021,0.3533334
Boid55,4.178697,0.3533334
Boid56,1.738075,0.3533334
Boid57,2.498913,0.3533334
Boid58,3.321242,0.3533334
Boid59,2.770072,0.3533334
Boid60,1.573793,0.3533334
Boid61,1.738112,0.3533334
Boid62,3.197224,0.3533334
Boid63,3.172481,0.3533334
Boid64,2.598854,0.3533334
Boid65,4.395973,0.3533334
Boid66,3.066289,0.3533334
Boid67,2.618545,0.3533334
Boid68,4.263566,0.3533334
Boid69,2.891883,0.3533334
Boid70,1.029256,0.3533334
Boid71,4.523435,0.3533334
Boid72,1.040362,0.3533334
Boid73,3.461062,0.3533334
Boid74,4.734401,0.3533334
Boid75,2.184944,0.3533334
Boid76,3.105201,0.3533334
Boid77,4.341368,0.3533334
Boid78,4.926007,0.3533334
Boid79,2.489286,0.3533334
Boid80,2.335283,0.3533334
Boid81,2.300858,0.3533334
Boid82,1.350121,0.3533334
Boid83,1.366023,0.3533334
Boid84,1.827473,0.3533334
Boid85,3.340178,0.3533334
Boid86,3.809527,0.3533334
Boid87,2.588551,0.3533334
Boid88,3.457785,0.3533334
Boid89,3.841215,0.3533334
Boid90,3.648623,0.3533334
