alpha,t
0.100606060606061,0
0.103434343434343,0.02
0.105656565656566,0.3533334
0.217171717171717,0.465975
0.211313131313131,0.5864304
0.172525252525253,0.738389
0.108686868686869,0.8549961
0.0917171717171717,0.9597439
0.0832323232323232,1.079811
0.0753535353535354,1.190194
0.0705050505050505,1.293683
0.0662626262626263,1.399488
0.061010101010101,1.506509
0.0577777777777778,1.614568
0.0551515151515152,1.720072
0.0535353535353535,1.823058
0.0517171717171717,1.928842
0.0517171717171717,2.034459
0.0507070707070707,2.14008
0.0513131313131313,2.242335
0.0511111111111111,2.348881
0.0519191919191919,2.455353
0.0531313131313131,2.57305
0.0543434343434343,2.675274
0.0555555555555556,2.788319
0.0555555555555556,2.891526
0.0553535353535354,2.996915
0.055959595959596,3.10518
0.0567676767676768,3.207142
0.0563636363636364,3.314775
0.055959595959596,3.420448
0.0551515151515152,3.524852
0.0541414141414141,3.63184
0.0527272727272727,3.737408
0.0517171717171717,3.840999
0.0501010101010101,3.941955
0.0490909090909091,4.0521
0.0476767676767677,4.154806
0.0462626262626263,4.267793
0.0438383838383838,4.364801
0.043030303030303,4.470885
0.042020202020202,4.577249
0.0408080808080808,4.679034
0.0393939393939394,4.781979
0.037979797979798,4.885782
0.0383838383838384,4.991496
0.038989898989899,5.104924
0.0395959595959596,5.204842
0.0397979797979798,5.309267
0.04,5.416359
0.0395959595959596,5.524928
0.0387878787878788,5.631859
0.0383838383838384,5.744129
0.0377777777777778,5.869322
0.036969696969697,5.971242
0.0363636363636364,6.073989
0.0353535353535354,6.182352
0.0351515151515151,6.289358
0.0347474747474747,6.390691
0.034949494949495,6.491897
0.034949494949495,6.614157
0.0343434343434343,6.721241
0.0339393939393939,6.825555
0.0341414141414141,6.927852
0.0339393939393939,7.031577
0.0337373737373737,7.138926
0.0335353535353535,7.241494
0.0339393939393939,7.34483
0.0335353535353535,7.444658
0.0331313131313131,7.557389
0.0333333333333333,7.662664
0.0333333333333333,7.769078
0.0335353535353535,7.872945
0.0335353535353535,7.981883
0.0329292929292929,8.098379
0.0327272727272727,8.199314
0.0323232323232323,8.30227
0.0317171717171717,8.406229
0.0313131313131313,8.51077
0.0309090909090909,8.620267
0.0309090909090909,8.723094
0.0307070707070707,8.831441
0.0307070707070707,8.93349
0.0307070707070707,9.040675
0.0309090909090909,9.143672
0.0309090909090909,9.250546
0.0307070707070707,9.352827
0.0305050505050505,9.45685
0.0305050505050505,9.560086
0.0305050505050505,9.669978
0.0307070707070707,9.77171
0.0305050505050505,9.875658
0.0303030303030303,9.98169
0.0303030303030303,10.08832
0.0307070707070707,10.18953
0.0311111111111111,10.29877
0.0319191919191919,10.39948
0.0321212121212121,10.49959
0.0329292929292929,10.61744
0.0335353535353535,10.72193
