alpha,t
0.104848484848485,0
0.105050505050505,0.02
0.107272727272727,0.3056521
0.158787878787879,0.4006342
0.143030303030303,0.4955891
0.126868686868687,0.5790502
0.115353535353535,0.6779386
0.106666666666667,0.7774484
0.0985858585858586,0.8625873
0.0951515151515152,0.9455318
0.0911111111111111,1.028265
0.0874747474747475,1.106864
0.0860606060606061,1.191056
0.0856565656565657,1.273901
0.0832323232323232,1.356528
0.0832323232323232,1.440466
0.0836363636363636,1.519695
0.0856565656565657,1.601892
0.0868686868686869,1.686854
0.0880808080808081,1.781305
0.0905050505050505,1.8634
0.0921212121212121,1.943354
0.0919191919191919,2.027132
0.0919191919191919,2.109132
0.0913131313131313,2.192918
0.0909090909090909,2.273286
0.0909090909090909,2.356326
0.0921212121212121,2.441487
0.0921212121212121,2.524846
0.0931313131313131,2.609472
0.0935353535353535,2.691676
0.0939393939393939,2.776268
0.0955555555555556,2.859211
0.0971717171717172,2.942367
0.10020202020202,3.022482
0.101818181818182,3.105327
0.103434343434343,3.189418
0.105454545454545,3.27229
0.107272727272727,3.355643
0.111919191919192,3.438025
0.116767676767677,3.522382
0.121414141414141,3.604552
0.125050505050505,3.688929
0.128282828282828,3.769824
0.132929292929293,3.856343
0.136565656565657,3.940682
0.137777777777778,4.023798
0.138585858585859,4.106978
0.138989898989899,4.193108
0.137777777777778,4.278501
0.138585858585859,4.361728
0.137575757575758,4.446177
0.137777777777778,4.527366
0.137171717171717,4.60991
0.136767676767677,4.694721
0.136363636363636,4.777826
0.136161616161616,4.864193
0.136161616161616,4.945436
0.136767676767677,5.028528
0.136565656565657,5.111814
0.137171717171717,5.196402
0.139393939393939,5.277723
0.143636363636364,5.362503
0.146868686868687,5.446882
0.151111111111111,5.53036
0.152929292929293,5.613824
0.155151515151515,5.695809
0.156363636363636,5.780622
0.157171717171717,5.866105
0.158989898989899,5.950128
0.15979797979798,6.030794
0.162020202020202,6.114033
0.163636363636364,6.198764
0.165050505050505,6.282794
0.165656565656566,6.366481
0.167070707070707,6.449174
0.166262626262626,6.532218
0.166868686868687,6.616713
0.166868686868687,6.703222
0.166666666666667,6.787481
0.167272727272727,6.871643
0.167676767676768,6.954738
0.168080808080808,7.038741
0.167878787878788,7.122311
0.168080808080808,7.203191
0.168282828282828,7.289322
0.168686868686869,7.372803
0.168686868686869,7.456962
0.168686868686869,7.54066
0.168484848484848,7.621239
0.16949494949495,7.707341
0.169292929292929,7.792158
0.169292929292929,7.876516
0.16989898989899,7.959112
0.16949494949495,8.043665
0.16949494949495,8.126038
0.17030303030303,8.21566
0.17050505050505,8.300524
0.170707070707071,8.382421
0.170707070707071,8.46734
0.170707070707071,8.551706
0.170707070707071,8.638456
0.171111111111111,8.721189
0.170707070707071,8.804451
0.170707070707071,8.889192
0.171313131313131,8.97556
0.171111111111111,9.058541
0.171313131313131,9.139295
0.171111111111111,9.223991
0.171515151515152,9.307549
0.172121212121212,9.391349
0.172121212121212,9.473301
0.172323232323232,9.559374
0.172727272727273,9.643287
0.172929292929293,9.7335
0.173333333333333,9.819345
0.173333333333333,9.903645
0.173333333333333,9.989403
0.173131313131313,10.08712
0.173939393939394,10.18723
0.173939393939394,10.29034
0.174343434343434,10.38913
0.174343434343434,10.40913
0.174343434343434,10.42913
0.174343434343434,10.54045
0.174545454545455,10.65065
0.174343434343434,10.75074
0.175555555555556,10.84127
0.175757575757576,10.93796
0.176161616161616,11.0266
0.175959595959596,11.11778
0.176161616161616,11.21133
0.176969696969697,11.30311
0.176767676767677,11.3901
0.176565656565657,11.47974
0.176565656565657,11.56871
0.176969696969697,11.65792
0.177777777777778,11.74773
0.177171717171717,11.83818
0.177373737373737,11.92703
0.177373737373737,12.0135
0.178181818181818,12.09668
0.178181818181818,12.18236
0.178585858585859,12.26731
0.178585858585859,12.3566
0.178787878787879,12.44052
0.178585858585859,12.52467
0.178787878787879,12.61168
0.178989898989899,12.63168
0.179191919191919,12.75206
0.178585858585859,12.83799
0.179393939393939,12.92246
0.179393939393939,13.00692
0.179191919191919,13.09011
0.178989898989899,13.17315
0.17979797979798,13.26161
0.179393939393939,13.34886
0.18,13.44732
0.18,13.53813
0.18,13.63874
0.180606060606061,13.65874
0.180606060606061,13.67874
0.18040404040404,13.83035
0.18020202020202,13.94878
0.180606060606061,14.04938
0.180808080808081,14.06938
0.180808080808081,14.08938
0.181010101010101,14.1961
0.181010101010101,14.30537
0.181616161616162,14.40012
0.181212121212121,14.48402
0.181616161616162,14.57806
0.181818181818182,14.66588
0.182020202020202,14.75161
0.181616161616162,14.83315
0.182424242424242,14.91239
0.182424242424242,14.99904
0.182626262626263,15.08069
0.182828282828283,15.16437
0.182828282828283,15.24401
0.183030303030303,15.3295
0.183030303030303,15.42127
0.183838383838384,15.5226
0.184242424242424,15.62479
0.184040404040404,15.71466
0.184242424242424,15.73466
0.184242424242424,15.75466
0.184242424242424,15.84386
0.184242424242424,15.93413
0.184646464646465,16.02777
0.184444444444444,16.11621
0.184646464646465,16.19656
0.185050505050505,16.28026
0.185252525252525,16.36064
0.185858585858586,16.43967
0.185656565656566,16.52239
0.185656565656566,16.60781
0.185656565656566,16.69138
0.186262626262626,16.77551
0.186464646464646,16.85991
0.186666666666667,16.94448
0.186262626262626,17.02979
0.186464646464646,17.11414
0.186666666666667,17.19769
0.186666666666667,17.28489
0.186666666666667,17.36556
0.186666666666667,17.44963
0.187272727272727,17.52763
0.187474747474747,17.609
0.187676767676768,17.6916
0.187676767676768,17.77194
0.187676767676768,17.85385
0.187878787878788,17.93423
0.187878787878788,18.01588
0.187878787878788,18.09738
0.188282828282828,18.17677
0.188282828282828,18.2627
0.188484848484848,18.34445
0.188282828282828,18.42841
0.188686868686869,18.50885
0.188888888888889,18.59164
0.188686868686869,18.67234
0.188888888888889,18.75364
0.189090909090909,18.83665
0.189090909090909,18.91742
0.189494949494949,19.00077
0.189494949494949,19.09005
0.189292929292929,19.17137
0.18969696969697,19.2557
0.18989898989899,19.3346
0.18969696969697,19.41912
0.18989898989899,19.49777
0.19010101010101,19.58162
0.18969696969697,19.66101
0.18989898989899,19.74135
0.18969696969697,19.824
0.18989898989899,19.90575
0.18969696969697,19.98944
0.18989898989899,20.07015
0.18969696969697,20.15286
0.19010101010101,20.23447
0.18989898989899,20.31848
0.18989898989899,20.40291
0.18969696969697,20.48079
0.18989898989899,20.56517
0.19010101010101,20.64323
0.19030303030303,20.72677
0.190707070707071,20.80914
0.190505050505051,20.89958
0.19030303030303,20.992
0.19030303030303,21.08985
0.190505050505051,21.21027
0.190505050505051,21.23027
0.190505050505051,21.25027
0.190505050505051,21.35721
0.190707070707071,21.45655
0.190707070707071,21.55478
0.190707070707071,21.64076
0.191111111111111,21.72424
0.191111111111111,21.74424
0.191111111111111,21.76424
0.191111111111111,21.85544
