Boid,Speed
Boid71,541.9903
Boid72,496.3214
Boid73,619.1777
Boid74,454.7803
Boid75,166.4904
Boid76,583.2725
Boid77,544.2269
Boid78,227.9458
Boid79,711.1095
Boid80,619.8633
Boid81,149.6909
Boid82,458.7587
Boid83,490.2462
Boid84,579.2499
Boid85,630.2288
Boid86,197.9089
Boid87,269.4446
Boid88,508.7277
Boid89,648.6252
Boid90,649.4944
Boid91,582.7263
Boid92,536.7855
Boid93,183.1614
Boid94,163.3716
Boid95,742.072
Boid96,497.6987
Boid97,856.7321
Boid98,792.5469
Boid99,786.6886
Boid100,571.1123
Boid101,530.5568
Boid102,504.4
Boid103,583.6958
Boid104,453.3542
Boid105,700.89
Boid106,152.7113
Boid107,580.178
Boid108,349.9232
Boid109,213.9202
Boid110,657.2593
Boid111,410.5385
Boid112,654.0059
Boid113,372.7023
Boid114,250.6823
Boid115,132.0831
Boid116,344.6376
Boid117,789.3898
Boid118,632.7019
Boid119,331.9211
Boid120,374.5342
Boid121,554.2559
Boid122,551.0767
Boid123,639.8788
Boid124,282.2805
Boid125,214.409
Boid126,532.0979
Boid127,179.2041
Boid128,758.8385
Boid129,346.8429
Boid130,758.4539
Boid131,79.40535
Boid132,583.4224
Boid133,698.317
Boid134,272.3861
Boid135,370.9144
Boid136,379.8892
Boid137,401.2104
Boid138,270.4872
Boid139,673.9584
Boid140,535.6691
Boid141,161.3098
Boid142,626.2912
Boid143,480.2533
Boid144,499.9983
Boid145,85.96587
Boid146,580.6855
Boid147,383.2128
Boid148,392.0706
Boid149,67.56794
Boid150,494.9684
Boid151,781.1155
Boid152,274.5481
Boid153,560.4312
Boid154,506.3604
Boid155,130.0028
Boid156,352.3913
Boid157,181.2051
Boid158,334.7938
Boid159,69.81133
Boid160,702.5239
Boid161,890.3199
Boid162,462.8158
Boid163,856.3519
Boid164,548.0749
Boid165,673.6801
Boid166,863.581
Boid167,660.6458
Boid168,540.5771
Boid169,524.9323
Boid170,354.5564
Boid171,401.4749
Boid172,398.3967
Boid173,536.7322
Boid174,616.6492
Boid175,475.7036
Boid176,865.9213
Boid177,329.7584
Boid178,185.2261
Boid179,479.3612
Boid180,121.0164
Boid181,648.3744
Boid182,376.3712
Boid183,386.0909
Boid184,283.6186
Boid185,473.5573
Boid186,113.1749
Boid187,383.1553
Boid188,551.2028
Boid189,494.8189
Boid190,169.645
Boid191,263.3232
Boid192,521.4677
Boid193,128.3069
Boid194,28.54444
Boid195,531.3487
Boid196,744.5931
Boid197,589.7881
Boid198,244.3808
Boid199,817.2313
Boid200,165.4391
Boid201,327.5594
Boid202,333.5038
Boid203,146.5592
Boid204,335.2215
Boid205,448.3163
Boid206,220.5766
Boid207,599.5992
Boid208,351.3445
Boid209,264.3311
Boid210,335.2504
Boid211,328.5433
Boid212,661.0429
Boid213,316.4925
Boid214,193.404
Boid215,709.6889
Boid216,525.8154
Boid217,219.9291
Boid218,235.8526
Boid219,60.83006
Boid220,731.6689
Boid221,581.7247
Boid222,307.6084
Boid223,834.7863
Boid224,343.401
Boid225,340.9612
Boid226,378.5109
Boid227,328.8497
Boid228,399.1077
Boid229,735.1907
Boid230,338.5504
Boid231,702.5918
Boid232,803.9528
Boid233,196.1651
Boid234,138.7298
Boid235,193.3966
Boid236,261.0208
Boid237,441.8901
Boid238,570.6766
Boid239,218.3681
Boid240,533.3027
Boid241,622.6812
Boid242,283.3283
Boid243,741.1954
Boid244,328.6908
Boid245,295.7845
Boid246,100.4773
Boid247,435.1689
Boid248,422.0728
Boid249,320.3239
Boid0,463.5728
Boid1,410.8682
Boid2,825.2009
Boid3,908.7161
Boid4,801.9955
Boid5,223.1974
Boid6,681.1091
Boid7,427.6475
Boid8,673.5278
Boid9,1043.952
Boid10,889.38
Boid11,646.8562
Boid12,368.0327
Boid13,416.6198
Boid14,88.27264
Boid15,727.9147
Boid16,978.4187
Boid17,1019.313
Boid18,673.2043
Boid19,534.0897
Boid20,869.2839
Boid21,395.5605
Boid22,367.9164
Boid23,508.6634
Boid24,236.2864
Boid25,164.6005
Boid26,455.8407
Boid27,599.3161
Boid28,833.72
Boid29,363.2003
Boid30,407.2668
Boid31,919.2244
Boid32,197.6448
Boid33,134.6212
Boid34,222.2294
Boid35,806.8152
Boid36,811.3552
Boid37,892.3796
Boid38,300.9292
Boid39,101.4214
Boid40,693.1252
Boid41,680.8325
Boid42,421.4646
Boid43,745.9714
Boid44,1026.506
Boid45,636.132
Boid46,633.9852
Boid47,630.6281
Boid48,954.5841
Boid49,376.1838
Boid50,164.0699
Boid51,570.802
Boid52,589.4951
Boid53,539.2969
Boid54,736.7092
Boid55,29.71842
Boid56,458.5732
Boid57,559.1371
Boid58,696.3483
Boid59,321.2138
Boid60,862.3268
Boid61,420.0258
Boid62,311.0445
Boid63,237.94
Boid64,113.4702
Boid65,456.9058
Boid66,536.6362
Boid67,459.9334
Boid68,248.7786
Boid69,726.0269
Boid70,985.3891
Boid71,662.0759
Boid72,611.4927
Boid73,758.5419
Boid74,557.806
Boid75,205.1311
Boid76,717.4195
Boid77,673.5855
Boid78,279.0618
Boid79,872.5085
Boid80,760.1432
Boid81,178.0047
Boid82,561.6114
Boid83,599.1824
Boid84,709.9632
Boid85,775.4951
Boid86,237.2213
Boid87,336.8793
Boid88,627.6387
Boid89,792.332
Boid90,789.9232
Boid91,710.4754
Boid92,658.5114
Boid93,223.8891
Boid94,199.1072
Boid95,903.9501
Boid96,608.9335
Boid97,1046.19
Boid98,966.3308
Boid99,960.425
Boid100,701.4135
Boid101,651.6616
Boid102,611.8954
Boid103,713.8568
Boid104,554.5137
Boid105,858.7335
Boid106,184.822
Boid107,713.7008
Boid108,435.6804
Boid109,263.9267
Boid110,800.5324
Boid111,502.5991
Boid112,795.9511
Boid113,456.84
Boid114,301.2187
Boid115,164.6086
Boid116,423.2105
Boid117,972.6658
Boid118,780.5048
Boid119,408.8014
Boid120,459.7999
Boid121,685.666
Boid122,677.4397
Boid123,781.58
Boid124,344.7507
Boid125,259.4749
Boid126,657.5187
Boid127,214.5035
Boid128,936.08
Boid129,427.7422
Boid130,931.4911
Boid131,103.6874
Boid132,720.3109
Boid133,855.1658
Boid134,334.4506
Boid135,451.5496
Boid136,466.2691
Boid137,489.976
Boid138,338.1535
Boid139,826.182
Boid140,658.7149
Boid141,191.3504
Boid142,767.6024
Boid143,584.2726
Boid144,613.805
Boid145,104.4151
Boid146,705.9069
Boid147,472.378
Boid148,484.7862
Boid149,82.61664
Boid150,612.2664
Boid151,958.2874
Boid152,335.8178
Boid153,688.311
Boid154,619.615
Boid155,156.3483
Boid156,430.52
Boid157,224.7962
Boid158,412.1382
Boid159,84.1339
Boid160,865.7944
Boid161,1093.424
Boid162,564.5112
Boid163,1050.772
Boid164,673.3248
Boid165,823.1941
Boid166,1059.63
Boid167,810.8737
Boid168,663.6999
Boid169,642.6053
Boid170,439.207
Boid171,491.2751
Boid172,486.5703
Boid173,657.3675
Boid174,759.7451
Boid175,577.0682
Boid176,1056.602
Boid177,401.7687
Boid178,221.0488
Boid179,583.1961
Boid180,152.8045
Boid181,800.4203
Boid182,465.5215
Boid183,473.8633
Boid184,342.8386
Boid185,581.1315
Boid186,142.9977
Boid187,470.6499
Boid188,676.3688
Boid189,606.0475
Boid190,213.7658
Boid191,323.7993
Boid192,644.5886
Boid193,160.7805
Boid194,33.71754
Boid195,645.4335
Boid196,907.5505
Boid197,721.0098
Boid198,303.2179
Boid199,1004.986
Boid200,202.4981
Boid201,406.0476
Boid202,408.0523
Boid203,179.8369
Boid204,411.9049
Boid205,554.6057
Boid206,268.9229
Boid207,738.2097
Boid208,431.1535
Boid209,321.3273
Boid210,409.3304
Boid211,404.8825
Boid212,812.2498
Boid213,386.5883
Boid214,237.1666
Boid215,873.824
Boid216,645.4633
Boid217,265.032
Boid218,290.0846
Boid219,80.53288
Boid220,902.5837
Boid221,716.1795
Boid222,378.3454
Boid223,1021.066
Boid224,418.044
Boid225,416.091
Boid226,465.8746
Boid227,400.3175
