Boid, OtherBoid
Boid1,Boid0,0.9134058
Boid2,Boid5,0.9134058
Boid3,Boid6,0.9134058
Boid4,Boid6,0.9134058
Boid5,Boid2,0.9134058
Boid6,Boid9,0.9134058
Boid7,Boid0,0.9134058
Boid8,Boid6,0.9134058
Boid9,Boid6,0.9134058
Boid0,Boid7,0.91864
Boid1,Boid0,0.91864
Boid2,Boid5,0.91864
Boid3,Boid6,0.91864
Boid4,Boid6,0.91864
Boid5,Boid2,0.91864
Boid6,Boid9,0.91864
Boid7,Boid0,0.91864
Boid8,Boid6,0.91864
Boid9,Boid6,0.91864
Boid0,Boid7,0.9244593
Boid1,Boid0,0.9244593
Boid2,Boid5,0.9244593
Boid3,Boid6,0.9244593
Boid4,Boid9,0.9244593
Boid5,Boid2,0.9244593
Boid6,Boid9,0.9244593
Boid7,Boid0,0.9244593
Boid8,Boid6,0.9244593
Boid9,Boid6,0.9244593
Boid0,Boid7,0.9297358
Boid1,Boid0,0.9297358
Boid2,Boid5,0.9297358
Boid3,Boid6,0.9297358
Boid4,Boid9,0.9297358
Boid5,Boid2,0.9297358
Boid6,Boid9,0.9297358
Boid7,Boid0,0.9297358
Boid8,Boid6,0.9297358
Boid9,Boid6,0.9297358
Boid0,Boid7,0.9351745
Boid1,Boid0,0.9351745
Boid2,Boid5,0.9351745
Boid3,Boid6,0.9351745
Boid4,Boid6,0.9351745
Boid5,Boid2,0.9351745
Boid6,Boid9,0.9351745
Boid7,Boid0,0.9351745
Boid8,Boid6,0.9351745
Boid9,Boid6,0.9351745
Boid0,Boid7,0.9434834
Boid1,Boid0,0.9434834
Boid2,Boid5,0.9434834
Boid3,Boid6,0.9434834
Boid4,Boid9,0.9434834
Boid5,Boid2,0.9434834
Boid6,Boid9,0.9434834
Boid7,Boid0,0.9434834
Boid8,Boid6,0.9434834
Boid9,Boid6,0.9434834
Boid0,Boid7,0.9498103
Boid1,Boid0,0.9498103
Boid2,Boid5,0.9498103
Boid3,Boid6,0.9498103
Boid4,Boid9,0.9498103
Boid5,Boid2,0.9498103
Boid6,Boid9,0.9498103
Boid7,Boid0,0.9498103
Boid8,Boid6,0.9498103
Boid9,Boid6,0.9498103
Boid0,Boid7,0.955646
Boid1,Boid0,0.955646
Boid2,Boid5,0.955646
Boid3,Boid6,0.955646
Boid4,Boid6,0.955646
Boid5,Boid2,0.955646
Boid6,Boid9,0.955646
Boid7,Boid0,0.955646
Boid8,Boid6,0.955646
Boid9,Boid6,0.955646
Boid0,Boid7,0.9613838
Boid1,Boid0,0.9613838
Boid2,Boid5,0.9613838
Boid3,Boid6,0.9613838
Boid4,Boid9,0.9613838
Boid5,Boid2,0.9613838
Boid6,Boid9,0.9613838
Boid7,Boid0,0.9613838
Boid8,Boid6,0.9613838
Boid9,Boid6,0.9613838
Boid0,Boid7,0.9669706
Boid1,Boid0,0.9669706
Boid2,Boid5,0.9669706
Boid3,Boid6,0.9669706
Boid4,Boid9,0.9669706
Boid5,Boid2,0.9669706
Boid6,Boid9,0.9669706
Boid7,Boid0,0.9669706
Boid8,Boid6,0.9669706
Boid9,Boid6,0.9669706
Boid0,Boid7,0.9725093
Boid1,Boid0,0.9725093
Boid2,Boid5,0.9725093
Boid3,Boid6,0.9725093
Boid4,Boid6,0.9725093
Boid5,Boid2,0.9725093
Boid6,Boid9,0.9725093
Boid7,Boid0,0.9725093
Boid8,Boid6,0.9725093
Boid9,Boid6,0.9725093
Boid0,Boid7,0.9782155
Boid1,Boid0,0.9782155
Boid2,Boid5,0.9782155
Boid3,Boid6,0.9782155
Boid4,Boid6,0.9782155
Boid5,Boid2,0.9782155
Boid6,Boid9,0.9782155
Boid7,Boid0,0.9782155
Boid8,Boid6,0.9782155
Boid9,Boid6,0.9782155
Boid0,Boid7,0.9838212
Boid1,Boid0,0.9838212
Boid2,Boid5,0.9838212
Boid3,Boid6,0.9838212
Boid4,Boid9,0.9838212
Boid5,Boid2,0.9838212
Boid6,Boid9,0.9838212
Boid7,Boid0,0.9838212
Boid8,Boid6,0.9838212
Boid9,Boid6,0.9838212
Boid0,Boid7,0.9922519
Boid1,Boid0,0.9922519
Boid2,Boid5,0.9922519
Boid3,Boid6,0.9922519
Boid4,Boid9,0.9922519
Boid5,Boid2,0.9922519
Boid6,Boid9,0.9922519
Boid7,Boid0,0.9922519
Boid8,Boid6,0.9922519
Boid9,Boid6,0.9922519
Boid0,Boid7,0.9988074
Boid1,Boid0,0.9988074
Boid2,Boid5,0.9988074
Boid3,Boid6,0.9988074
Boid4,Boid6,0.9988074
Boid5,Boid2,0.9988074
Boid6,Boid9,0.9988074
Boid7,Boid0,0.9988074
Boid8,Boid6,0.9988074
Boid9,Boid6,0.9988074
Boid0,Boid7,1.005182
Boid1,Boid0,1.005182
Boid2,Boid5,1.005182
Boid3,Boid6,1.005182
Boid4,Boid9,1.005182
Boid5,Boid2,1.005182
Boid6,Boid9,1.005182
Boid7,Boid0,1.005182
Boid8,Boid6,1.005182
Boid9,Boid6,1.005182
Boid0,Boid7,1.010664
Boid1,Boid0,1.010664
Boid2,Boid5,1.010664
Boid3,Boid6,1.010664
Boid4,Boid9,1.010664
Boid5,Boid2,1.010664
Boid6,Boid9,1.010664
Boid7,Boid0,1.010664
Boid8,Boid6,1.010664
Boid9,Boid6,1.010664
Boid0,Boid7,1.017034
Boid1,Boid0,1.017034
Boid2,Boid5,1.017034
Boid3,Boid6,1.017034
Boid4,Boid6,1.017034
Boid5,Boid2,1.017034
Boid6,Boid9,1.017034
Boid7,Boid0,1.017034
Boid8,Boid6,1.017034
Boid9,Boid6,1.017034
Boid0,Boid7,1.022729
Boid1,Boid0,1.022729
Boid2,Boid5,1.022729
Boid3,Boid6,1.022729
Boid4,Boid9,1.022729
Boid5,Boid2,1.022729
Boid6,Boid9,1.022729
Boid7,Boid0,1.022729
Boid8,Boid6,1.022729
Boid9,Boid6,1.022729
Boid0,Boid7,1.028208
Boid1,Boid0,1.028208
Boid2,Boid5,1.028208
Boid3,Boid6,1.028208
Boid4,Boid9,1.028208
Boid5,Boid2,1.028208
Boid6,Boid9,1.028208
Boid7,Boid0,1.028208
Boid8,Boid6,1.028208
Boid9,Boid6,1.028208
Boid0,Boid7,1.047974
Boid1,Boid0,1.047974
Boid2,Boid5,1.047974
Boid3,Boid6,1.047974
Boid4,Boid9,1.047974
Boid5,Boid2,1.047974
Boid6,Boid9,1.047974
Boid7,Boid0,1.047974
Boid8,Boid6,1.047974
Boid9,Boid6,1.047974
Boid0,Boid7,1.055619
Boid1,Boid0,1.055619
Boid2,Boid5,1.055619
Boid3,Boid6,1.055619
Boid4,Boid6,1.055619
Boid5,Boid2,1.055619
Boid6,Boid9,1.055619
Boid7,Boid0,1.055619
Boid8,Boid6,1.055619
Boid9,Boid6,1.055619
Boid0,Boid7,1.061091
Boid1,Boid0,1.061091
Boid2,Boid5,1.061091
Boid3,Boid6,1.061091
Boid4,Boid9,1.061091
Boid5,Boid2,1.061091
Boid6,Boid9,1.061091
Boid7,Boid0,1.061091
Boid8,Boid6,1.061091
Boid9,Boid6,1.061091
Boid0,Boid7,1.066711
Boid1,Boid0,1.066711
Boid2,Boid5,1.066711
Boid3,Boid6,1.066711
Boid4,Boid9,1.066711
Boid5,Boid2,1.066711
Boid6,Boid9,1.066711
Boid7,Boid0,1.066711
Boid8,Boid6,1.066711
Boid9,Boid6,1.066711
Boid0,Boid7,1.073023
Boid1,Boid0,1.073023
Boid2,Boid5,1.073023
Boid3,Boid6,1.073023
Boid4,Boid6,1.073023
Boid5,Boid2,1.073023
Boid6,Boid9,1.073023
Boid7,Boid0,1.073023
Boid8,Boid6,1.073023
Boid9,Boid6,1.073023
Boid0,Boid7,1.078346
Boid1,Boid0,1.078346
Boid2,Boid5,1.078346
Boid3,Boid6,1.078346
Boid4,Boid6,1.078346
Boid5,Boid2,1.078346
Boid6,Boid9,1.078346
Boid7,Boid0,1.078346
Boid8,Boid6,1.078346
Boid9,Boid6,1.078346
Boid0,Boid7,1.083786
Boid1,Boid0,1.083786
Boid2,Boid5,1.083786
Boid3,Boid6,1.083786
Boid4,Boid9,1.083786
Boid5,Boid2,1.083786
Boid6,Boid9,1.083786
Boid7,Boid0,1.083786
Boid8,Boid6,1.083786
Boid9,Boid6,1.083786
Boid0,Boid7,1.089438
Boid1,Boid0,1.089438
Boid2,Boid5,1.089438
Boid3,Boid6,1.089438
Boid4,Boid9,1.089438
Boid5,Boid2,1.089438
Boid6,Boid9,1.089438
Boid7,Boid0,1.089438
Boid8,Boid6,1.089438
Boid9,Boid6,1.089438
Boid0,Boid7,1.094734
Boid1,Boid0,1.094734
Boid2,Boid5,1.094734
Boid3,Boid6,1.094734
Boid4,Boid6,1.094734
Boid5,Boid2,1.094734
Boid6,Boid9,1.094734
Boid7,Boid0,1.094734
Boid8,Boid6,1.094734
Boid9,Boid6,1.094734
Boid0,Boid7,1.102165
Boid1,Boid0,1.102165
Boid2,Boid5,1.102165
Boid3,Boid6,1.102165
Boid4,Boid9,1.102165
Boid5,Boid2,1.102165
Boid6,Boid9,1.102165
Boid7,Boid0,1.102165
Boid8,Boid6,1.102165
Boid9,Boid6,1.102165
Boid0,Boid7,1.107973
Boid1,Boid0,1.107973
Boid2,Boid5,1.107973
Boid3,Boid6,1.107973
Boid4,Boid9,1.107973
Boid5,Boid2,1.107973
Boid6,Boid9,1.107973
Boid7,Boid0,1.107973
Boid8,Boid6,1.107973
Boid9,Boid6,1.107973
Boid0,Boid7,1.11366
Boid1,Boid0,1.11366
Boid2,Boid5,1.11366
Boid3,Boid6,1.11366
Boid4,Boid6,1.11366
Boid5,Boid2,1.11366
Boid6,Boid9,1.11366
Boid7,Boid0,1.11366
Boid8,Boid6,1.11366
Boid9,Boid6,1.11366
Boid0,Boid7,1.119317
Boid1,Boid0,1.119317
Boid2,Boid5,1.119317
Boid3,Boid6,1.119317
Boid4,Boid6,1.119317
Boid5,Boid2,1.119317
Boid6,Boid9,1.119317
Boid7,Boid0,1.119317
Boid8,Boid6,1.119317
Boid9,Boid6,1.119317
Boid0,Boid7,1.125082
Boid1,Boid0,1.125082
Boid2,Boid5,1.125082
Boid3,Boid6,1.125082
Boid4,Boid9,1.125082
Boid5,Boid2,1.125082
Boid6,Boid9,1.125082
Boid7,Boid0,1.125082
Boid8,Boid6,1.125082
Boid9,Boid6,1.125082
Boid0,Boid7,1.130472
Boid1,Boid0,1.130472
Boid2,Boid5,1.130472
Boid3,Boid6,1.130472
Boid4,Boid9,1.130472
Boid5,Boid2,1.130472
Boid6,Boid9,1.130472
Boid7,Boid0,1.130472
Boid8,Boid6,1.130472
Boid9,Boid6,1.130472
Boid0,Boid7,1.135754
Boid1,Boid0,1.135754
Boid2,Boid5,1.135754
Boid3,Boid6,1.135754
Boid4,Boid6,1.135754
Boid5,Boid2,1.135754
Boid6,Boid9,1.135754
Boid7,Boid0,1.135754
Boid8,Boid6,1.135754
Boid9,Boid6,1.135754
Boid0,Boid7,1.141527
Boid1,Boid0,1.141527
Boid2,Boid5,1.141527
Boid3,Boid6,1.141527
Boid4,Boid9,1.141527
Boid5,Boid2,1.141527
Boid6,Boid9,1.141527
Boid7,Boid0,1.141527
Boid8,Boid6,1.141527
Boid9,Boid6,1.141527
Boid0,Boid7,1.149401
Boid1,Boid0,1.149401
Boid2,Boid5,1.149401
Boid3,Boid6,1.149401
Boid4,Boid9,1.149401
Boid5,Boid2,1.149401
Boid6,Boid9,1.149401
Boid7,Boid0,1.149401
Boid8,Boid6,1.149401
Boid9,Boid6,1.149401
Boid0,Boid7,1.156041
Boid1,Boid0,1.156041
Boid2,Boid5,1.156041
Boid3,Boid6,1.156041
Boid4,Boid6,1.156041
Boid5,Boid2,1.156041
Boid6,Boid9,1.156041
Boid7,Boid0,1.156041
Boid8,Boid6,1.156041
Boid9,Boid6,1.156041
Boid0,Boid7,1.161454
Boid1,Boid0,1.161454
Boid2,Boid5,1.161454
Boid3,Boid6,1.161454
Boid4,Boid9,1.161454
Boid5,Boid2,1.161454
Boid6,Boid9,1.161454
Boid7,Boid0,1.161454
Boid8,Boid6,1.161454
Boid9,Boid6,1.161454
Boid0,Boid7,1.16741
Boid1,Boid0,1.16741
Boid2,Boid5,1.16741
Boid3,Boid6,1.16741
Boid4,Boid9,1.16741
Boid5,Boid2,1.16741
Boid6,Boid9,1.16741
Boid7,Boid0,1.16741
Boid8,Boid6,1.16741
Boid9,Boid6,1.16741
Boid0,Boid7,1.172851
Boid1,Boid0,1.172851
Boid2,Boid5,1.172851
Boid3,Boid6,1.172851
Boid4,Boid6,1.172851
Boid5,Boid2,1.172851
Boid6,Boid9,1.172851
Boid7,Boid0,1.172851
Boid8,Boid6,1.172851
Boid9,Boid6,1.172851
Boid0,Boid7,1.178974
Boid1,Boid0,1.178974
Boid2,Boid5,1.178974
Boid3,Boid6,1.178974
Boid4,Boid6,1.178974
Boid5,Boid2,1.178974
Boid6,Boid9,1.178974
Boid7,Boid0,1.178974
Boid8,Boid6,1.178974
Boid9,Boid6,1.178974
Boid0,Boid7,1.184486
Boid1,Boid0,1.184486
Boid2,Boid5,1.184486
Boid3,Boid6,1.184486
Boid4,Boid9,1.184486
Boid5,Boid2,1.184486
Boid6,Boid9,1.184486
Boid7,Boid0,1.184486
Boid8,Boid6,1.184486
Boid9,Boid6,1.184486
Boid0,Boid7,1.189974
Boid1,Boid0,1.189974
Boid2,Boid5,1.189974
Boid3,Boid6,1.189974
Boid4,Boid9,1.189974
Boid5,Boid2,1.189974
Boid6,Boid9,1.189974
Boid7,Boid0,1.189974
Boid8,Boid6,1.189974
Boid9,Boid6,1.189974
Boid0,Boid7,1.197494
Boid1,Boid0,1.197494
Boid2,Boid5,1.197494
Boid3,Boid6,1.197494
Boid4,Boid6,1.197494
Boid5,Boid2,1.197494
Boid6,Boid9,1.197494
Boid7,Boid0,1.197494
Boid8,Boid6,1.197494
Boid9,Boid6,1.197494
Boid0,Boid7,1.202716
Boid1,Boid0,1.202716
Boid2,Boid5,1.202716
Boid3,Boid6,1.202716
Boid4,Boid9,1.202716
Boid5,Boid2,1.202716
Boid6,Boid9,1.202716
Boid7,Boid0,1.202716
Boid8,Boid6,1.202716
Boid9,Boid6,1.202716
Boid0,Boid7,1.208181
Boid1,Boid0,1.208181
Boid2,Boid5,1.208181
Boid3,Boid6,1.208181
Boid4,Boid9,1.208181
Boid5,Boid2,1.208181
Boid6,Boid9,1.208181
Boid7,Boid0,1.208181
Boid8,Boid6,1.208181
Boid9,Boid6,1.208181
Boid0,Boid7,1.213686
Boid1,Boid0,1.213686
Boid2,Boid5,1.213686
Boid3,Boid6,1.213686
Boid4,Boid6,1.213686
Boid5,Boid2,1.213686
Boid6,Boid9,1.213686
Boid7,Boid0,1.213686
Boid8,Boid6,1.213686
Boid9,Boid6,1.213686
Boid0,Boid7,1.219697
Boid1,Boid0,1.219697
Boid2,Boid5,1.219697
Boid3,Boid6,1.219697
Boid4,Boid6,1.219697
Boid5,Boid2,1.219697
Boid6,Boid9,1.219697
Boid7,Boid0,1.219697
Boid8,Boid6,1.219697
Boid9,Boid6,1.219697
Boid0,Boid7,1.225242
Boid1,Boid0,1.225242
Boid2,Boid5,1.225242
Boid3,Boid6,1.225242
Boid4,Boid9,1.225242
Boid5,Boid2,1.225242
Boid6,Boid9,1.225242
Boid7,Boid0,1.225242
Boid8,Boid6,1.225242
Boid9,Boid6,1.225242
Boid0,Boid7,1.230682
Boid1,Boid0,1.230682
Boid2,Boid5,1.230682
Boid3,Boid6,1.230682
Boid4,Boid9,1.230682
Boid5,Boid2,1.230682
Boid6,Boid9,1.230682
Boid7,Boid0,1.230682
Boid8,Boid6,1.230682
Boid9,Boid6,1.230682
Boid0,Boid7,1.236186
Boid1,Boid0,1.236186
Boid2,Boid5,1.236186
Boid3,Boid6,1.236186
Boid4,Boid6,1.236186
Boid5,Boid2,1.236186
Boid6,Boid9,1.236186
Boid7,Boid0,1.236186
Boid8,Boid6,1.236186
Boid9,Boid6,1.236186
Boid0,Boid7,1.243806
Boid1,Boid0,1.243806
Boid2,Boid5,1.243806
Boid3,Boid6,1.243806
Boid4,Boid9,1.243806
Boid5,Boid2,1.243806
Boid6,Boid9,1.243806
Boid7,Boid0,1.243806
Boid8,Boid6,1.243806
Boid9,Boid6,1.243806
Boid0,Boid7,1.24954
Boid1,Boid0,1.24954
Boid2,Boid5,1.24954
Boid3,Boid6,1.24954
Boid4,Boid9,1.24954
Boid5,Boid2,1.24954
Boid6,Boid9,1.24954
Boid7,Boid0,1.24954
Boid8,Boid6,1.24954
Boid9,Boid6,1.24954
Boid0,Boid7,1.254983
Boid1,Boid0,1.254983
Boid2,Boid5,1.254983
Boid3,Boid6,1.254983
Boid4,Boid6,1.254983
Boid5,Boid2,1.254983
Boid6,Boid9,1.254983
Boid7,Boid0,1.254983
Boid8,Boid6,1.254983
Boid9,Boid6,1.254983
Boid0,Boid7,1.260466
Boid1,Boid0,1.260466
Boid2,Boid5,1.260466
Boid3,Boid6,1.260466
Boid4,Boid9,1.260466
Boid5,Boid2,1.260466
Boid6,Boid9,1.260466
Boid7,Boid0,1.260466
Boid8,Boid6,1.260466
Boid9,Boid6,1.260466
Boid0,Boid7,1.265741
Boid1,Boid0,1.265741
Boid2,Boid5,1.265741
Boid3,Boid6,1.265741
Boid4,Boid9,1.265741
Boid5,Boid2,1.265741
Boid6,Boid9,1.265741
Boid7,Boid0,1.265741
Boid8,Boid6,1.265741
Boid9,Boid6,1.265741
Boid0,Boid7,1.271634
Boid1,Boid0,1.271634
Boid2,Boid5,1.271634
Boid3,Boid6,1.271634
Boid4,Boid6,1.271634
Boid5,Boid2,1.271634
Boid6,Boid9,1.271634
Boid7,Boid0,1.271634
Boid8,Boid6,1.271634
Boid9,Boid6,1.271634
Boid0,Boid7,1.277444
Boid1,Boid0,1.277444
Boid2,Boid5,1.277444
Boid3,Boid6,1.277444
Boid4,Boid6,1.277444
Boid5,Boid2,1.277444
Boid6,Boid9,1.277444
Boid7,Boid0,1.277444
Boid8,Boid6,1.277444
Boid9,Boid6,1.277444
Boid0,Boid7,1.283672
Boid1,Boid0,1.283672
Boid2,Boid5,1.283672
Boid3,Boid6,1.283672
Boid4,Boid9,1.283672
Boid5,Boid2,1.283672
Boid6,Boid9,1.283672
Boid7,Boid0,1.283672
Boid8,Boid6,1.283672
Boid9,Boid6,1.283672
Boid0,Boid7,1.291474
Boid1,Boid0,1.291474
Boid2,Boid5,1.291474
Boid3,Boid6,1.291474
Boid4,Boid9,1.291474
Boid5,Boid2,1.291474
Boid6,Boid9,1.291474
Boid7,Boid0,1.291474
Boid8,Boid6,1.291474
Boid9,Boid6,1.291474
Boid0,Boid7,1.296942
Boid1,Boid0,1.296942
Boid2,Boid5,1.296942
Boid3,Boid6,1.296942
Boid4,Boid6,1.296942
Boid5,Boid2,1.296942
Boid6,Boid9,1.296942
Boid7,Boid0,1.296942
Boid8,Boid6,1.296942
Boid9,Boid6,1.296942
Boid0,Boid7,1.30246
Boid1,Boid0,1.30246
Boid2,Boid5,1.30246
Boid3,Boid6,1.30246
Boid4,Boid9,1.30246
Boid5,Boid2,1.30246
Boid6,Boid9,1.30246
Boid7,Boid0,1.30246
Boid8,Boid6,1.30246
Boid9,Boid6,1.30246
Boid0,Boid7,1.308465
Boid1,Boid0,1.308465
Boid2,Boid5,1.308465
Boid3,Boid6,1.308465
Boid4,Boid9,1.308465
Boid5,Boid2,1.308465
Boid6,Boid9,1.308465
Boid7,Boid0,1.308465
Boid8,Boid6,1.308465
Boid9,Boid6,1.308465
Boid0,Boid7,1.313874
Boid1,Boid0,1.313874
Boid2,Boid5,1.313874
Boid3,Boid6,1.313874
Boid4,Boid6,1.313874
Boid5,Boid2,1.313874
Boid6,Boid9,1.313874
Boid7,Boid0,1.313874
Boid8,Boid6,1.313874
Boid9,Boid6,1.313874
Boid0,Boid7,1.319475
Boid1,Boid0,1.319475
Boid2,Boid5,1.319475
Boid3,Boid6,1.319475
Boid4,Boid6,1.319475
Boid5,Boid2,1.319475
Boid6,Boid9,1.319475
Boid7,Boid0,1.319475
Boid8,Boid6,1.319475
Boid9,Boid6,1.319475
Boid0,Boid7,1.325131
Boid1,Boid0,1.325131
Boid2,Boid5,1.325131
Boid3,Boid6,1.325131
Boid4,Boid9,1.325131
Boid5,Boid2,1.325131
Boid6,Boid9,1.325131
Boid7,Boid0,1.325131
Boid8,Boid6,1.325131
Boid9,Boid6,1.325131
Boid0,Boid7,1.330448
Boid1,Boid0,1.330448
Boid2,Boid5,1.330448
Boid3,Boid6,1.330448
Boid4,Boid9,1.330448
Boid5,Boid2,1.330448
Boid6,Boid9,1.330448
Boid7,Boid0,1.330448
Boid8,Boid6,1.330448
Boid9,Boid6,1.330448
Boid0,Boid7,1.338476
Boid1,Boid0,1.338476
Boid2,Boid5,1.338476
Boid3,Boid6,1.338476
Boid4,Boid6,1.338476
Boid5,Boid2,1.338476
Boid6,Boid9,1.338476
Boid7,Boid0,1.338476
Boid8,Boid6,1.338476
Boid9,Boid6,1.338476
Boid0,Boid7,1.344019
Boid1,Boid0,1.344019
Boid2,Boid5,1.344019
Boid3,Boid6,1.344019
Boid4,Boid9,1.344019
Boid5,Boid2,1.344019
Boid6,Boid9,1.344019
Boid7,Boid0,1.344019
Boid8,Boid6,1.344019
Boid9,Boid6,1.344019
Boid0,Boid7,1.349431
Boid1,Boid0,1.349431
Boid2,Boid5,1.349431
Boid3,Boid6,1.349431
Boid4,Boid9,1.349431
Boid5,Boid2,1.349431
Boid6,Boid9,1.349431
Boid7,Boid0,1.349431
Boid8,Boid6,1.349431
Boid9,Boid6,1.349431
Boid0,Boid7,1.355706
Boid1,Boid0,1.355706
Boid2,Boid5,1.355706
Boid3,Boid6,1.355706
Boid4,Boid6,1.355706
Boid5,Boid2,1.355706
Boid6,Boid9,1.355706
Boid7,Boid0,1.355706
Boid8,Boid6,1.355706
Boid9,Boid6,1.355706
Boid0,Boid7,1.361104
Boid1,Boid0,1.361104
Boid2,Boid5,1.361104
Boid3,Boid6,1.361104
Boid4,Boid9,1.361104
Boid5,Boid2,1.361104
Boid6,Boid9,1.361104
Boid7,Boid0,1.361104
Boid8,Boid6,1.361104
Boid9,Boid6,1.361104
Boid0,Boid7,1.366952
Boid1,Boid0,1.366952
Boid2,Boid5,1.366952
Boid3,Boid6,1.366952
Boid4,Boid9,1.366952
Boid5,Boid2,1.366952
Boid6,Boid9,1.366952
Boid7,Boid0,1.366952
Boid8,Boid6,1.366952
Boid9,Boid6,1.366952
Boid0,Boid7,1.372391
Boid1,Boid0,1.372391
Boid2,Boid5,1.372391
Boid3,Boid6,1.372391
Boid4,Boid6,1.372391
Boid5,Boid2,1.372391
Boid6,Boid9,1.372391
Boid7,Boid0,1.372391
Boid8,Boid6,1.372391
Boid9,Boid6,1.372391
Boid0,Boid7,1.378045
Boid1,Boid0,1.378045
Boid2,Boid5,1.378045
Boid3,Boid6,1.378045
Boid4,Boid6,1.378045
Boid5,Boid2,1.378045
Boid6,Boid9,1.378045
Boid7,Boid0,1.378045
Boid8,Boid6,1.378045
Boid9,Boid6,1.378045
Boid0,Boid7,1.38554
Boid1,Boid0,1.38554
Boid2,Boid5,1.38554
Boid3,Boid6,1.38554
Boid4,Boid9,1.38554
Boid5,Boid2,1.38554
Boid6,Boid9,1.38554
Boid7,Boid0,1.38554
Boid8,Boid6,1.38554
Boid9,Boid6,1.38554
Boid0,Boid7,1.391024
Boid1,Boid0,1.391024
Boid2,Boid5,1.391024
Boid3,Boid6,1.391024
Boid4,Boid9,1.391024
Boid5,Boid2,1.391024
Boid6,Boid9,1.391024
Boid7,Boid0,1.391024
Boid8,Boid6,1.391024
Boid9,Boid6,1.391024
Boid0,Boid7,1.396321
Boid1,Boid0,1.396321
Boid2,Boid5,1.396321
Boid3,Boid6,1.396321
Boid4,Boid6,1.396321
Boid5,Boid2,1.396321
Boid6,Boid9,1.396321
Boid7,Boid0,1.396321
Boid8,Boid6,1.396321
Boid9,Boid6,1.396321
Boid0,Boid7,1.401612
Boid1,Boid0,1.401612
Boid2,Boid5,1.401612
Boid3,Boid6,1.401612
Boid4,Boid9,1.401612
Boid5,Boid2,1.401612
Boid6,Boid9,1.401612
Boid7,Boid0,1.401612
Boid8,Boid6,1.401612
Boid9,Boid6,1.401612
Boid0,Boid7,1.407149
Boid1,Boid0,1.407149
Boid2,Boid5,1.407149
Boid3,Boid6,1.407149
Boid4,Boid9,1.407149
Boid5,Boid2,1.407149
Boid6,Boid9,1.407149
Boid7,Boid0,1.407149
Boid8,Boid6,1.407149
Boid9,Boid6,1.407149
Boid0,Boid7,1.412701
Boid1,Boid0,1.412701
Boid2,Boid5,1.412701
Boid3,Boid6,1.412701
Boid4,Boid6,1.412701
Boid5,Boid2,1.412701
Boid6,Boid9,1.412701
Boid7,Boid0,1.412701
Boid8,Boid6,1.412701
Boid9,Boid6,1.412701
Boid0,Boid7,1.418038
Boid1,Boid0,1.418038
Boid2,Boid5,1.418038
Boid3,Boid6,1.418038
Boid4,Boid6,1.418038
Boid5,Boid2,1.418038
Boid6,Boid9,1.418038
Boid7,Boid0,1.418038
Boid8,Boid6,1.418038
Boid9,Boid6,1.418038
Boid0,Boid7,1.423837
Boid1,Boid0,1.423837
Boid2,Boid5,1.423837
Boid3,Boid6,1.423837
Boid4,Boid9,1.423837
Boid5,Boid2,1.423837
Boid6,Boid9,1.423837
Boid7,Boid0,1.423837
Boid8,Boid6,1.423837
Boid9,Boid6,1.423837
Boid0,Boid7,1.433451
Boid1,Boid0,1.433451
Boid2,Boid5,1.433451
Boid3,Boid6,1.433451
Boid4,Boid9,1.433451
Boid5,Boid2,1.433451
Boid6,Boid9,1.433451
Boid7,Boid0,1.433451
Boid8,Boid6,1.433451
Boid9,Boid6,1.433451
Boid0,Boid7,1.441623
Boid1,Boid0,1.441623
Boid2,Boid5,1.441623
Boid3,Boid6,1.441623
Boid4,Boid9,1.441623
Boid5,Boid2,1.441623
Boid6,Boid9,1.441623
Boid7,Boid0,1.441623
Boid8,Boid6,1.441623
Boid9,Boid6,1.441623
Boid0,Boid7,1.447624
Boid1,Boid0,1.447624
Boid2,Boid5,1.447624
Boid3,Boid6,1.447624
Boid4,Boid9,1.447624
Boid5,Boid2,1.447624
Boid6,Boid9,1.447624
Boid7,Boid0,1.447624
Boid8,Boid6,1.447624
Boid9,Boid6,1.447624
Boid0,Boid7,1.453632
Boid1,Boid0,1.453632
Boid2,Boid5,1.453632
Boid3,Boid6,1.453632
Boid4,Boid6,1.453632
Boid5,Boid2,1.453632
Boid6,Boid9,1.453632
Boid7,Boid0,1.453632
Boid8,Boid6,1.453632
Boid9,Boid6,1.453632
Boid0,Boid7,1.46007
Boid1,Boid0,1.46007
Boid2,Boid5,1.46007
Boid3,Boid6,1.46007
Boid4,Boid9,1.46007
Boid5,Boid2,1.46007
Boid6,Boid9,1.46007
Boid7,Boid0,1.46007
Boid8,Boid6,1.46007
Boid9,Boid6,1.46007
Boid0,Boid7,1.46584
Boid1,Boid0,1.46584
Boid2,Boid5,1.46584
Boid3,Boid6,1.46584
Boid4,Boid9,1.46584
Boid5,Boid2,1.46584
Boid6,Boid9,1.46584
Boid7,Boid0,1.46584
Boid8,Boid6,1.46584
Boid9,Boid6,1.46584
Boid0,Boid7,1.471251
Boid1,Boid0,1.471251
Boid2,Boid5,1.471251
Boid3,Boid6,1.471251
Boid4,Boid6,1.471251
Boid5,Boid2,1.471251
Boid6,Boid9,1.471251
Boid7,Boid0,1.471251
Boid8,Boid6,1.471251
Boid9,Boid6,1.471251
Boid0,Boid7,1.476777
Boid1,Boid0,1.476777
Boid2,Boid5,1.476777
Boid3,Boid6,1.476777
Boid4,Boid6,1.476777
