boid-i, boid-j, timeElapsed
Boid14,Boid17,.424
Boid15,Boid11,.424
Boid16,Boid19,.424
Boid17,Boid47,.424
Boid18,Boid31,.424
Boid19,Boid17,.424
Boid20,Boid31,.424
Boid21,Boid7,.424
Boid22,Boid17,.424
Boid23,Boid11,.424
Boid24,Boid17,.424
Boid25,Boid17,.424
Boid26,Boid16,.424
Boid27,Boid47,.424
Boid28,Boid16,.424
Boid29,Boid31,.424
Boid30,Boid47,.424
Boid31,Boid11,.424
Boid32,Boid17,.424
Boid33,Boid11,.424
Boid34,Boid11,.424
Boid35,Boid17,.424
Boid36,Boid31,.424
Boid37,Boid31,.424
Boid38,Boid17,.424
Boid39,Boid31,.424
Boid40,Boid11,.424
Boid41,Boid11,.424
Boid42,Boid11,.424
Boid43,Boid47,.424
Boid44,Boid47,.424
Boid45,Boid31,.424
Boid46,Boid11,.424
Boid47,Boid17,.424
Boid48,Boid11,.424
Boid49,Boid11,.424
Boid0,Boid15,.447
Boid1,Boid15,.447
Boid2,Boid15,.447
Boid3,Boid18,.447
Boid4,Boid5,.447
Boid5,Boid10,.447
Boid6,Boid3,.447
Boid7,Boid5,.447
Boid8,Boid18,.447
Boid9,Boid5,.447
Boid10,Boid3,.447
Boid11,Boid15,.447
Boid12,Boid15,.447
Boid13,Boid18,.447
Boid14,Boid5,.447
Boid15,Boid18,.447
Boid16,Boid10,.447
Boid17,Boid5,.447
Boid18,Boid15,.447
Boid19,Boid10,.447
Boid20,Boid18,.447
Boid21,Boid9,.447
Boid22,Boid10,.447
Boid23,Boid18,.447
Boid24,Boid5,.447
Boid25,Boid10,.447
Boid26,Boid18,.447
Boid27,Boid18,.447
Boid28,Boid18,.447
Boid29,Boid18,.447
Boid30,Boid3,.447
Boid31,Boid18,.447
Boid32,Boid10,.447
Boid33,Boid18,.447
Boid34,Boid15,.447
Boid35,Boid10,.447
Boid36,Boid15,.447
Boid37,Boid18,.447
Boid38,Boid10,.447
Boid39,Boid18,.447
Boid40,Boid31,.447
Boid41,Boid18,.447
Boid42,Boid15,.447
Boid43,Boid3,.447
Boid44,Boid18,.447
Boid45,Boid18,.447
Boid46,Boid18,.447
Boid47,Boid10,.447
Boid48,Boid18,.447
Boid49,Boid15,.447
Boid0,Boid3,.471
Boid1,Boid43,.471
Boid2,Boid3,.471
Boid3,Boid18,.471
Boid4,Boid19,.471
Boid5,Boid19,.471
Boid6,Boid3,.471
Boid7,Boid17,.471
Boid8,Boid3,.471
Boid9,Boid19,.471
Boid10,Boid3,.471
Boid11,Boid43,.471
Boid12,Boid3,.471
Boid13,Boid3,.471
Boid14,Boid19,.471
Boid15,Boid3,.471
Boid16,Boid8,.471
Boid17,Boid19,.471
Boid18,Boid3,.471
Boid19,Boid16,.471
Boid20,Boid3,.471
Boid21,Boid9,.471
Boid22,Boid19,.471
Boid23,Boid3,.471
Boid24,Boid17,.471
Boid25,Boid19,.471
Boid26,Boid3,.471
Boid27,Boid3,.471
Boid28,Boid3,.471
Boid29,Boid3,.471
Boid30,Boid3,.471
Boid31,Boid3,.471
Boid32,Boid19,.471
Boid33,Boid3,.471
Boid34,Boid43,.471
Boid35,Boid8,.471
Boid36,Boid31,.471
Boid37,Boid3,.471
Boid38,Boid19,.471
Boid39,Boid3,.471
Boid40,Boid11,.471
Boid41,Boid3,.471
Boid42,Boid11,.471
Boid43,Boid3,.471
Boid44,Boid3,.471
Boid45,Boid3,.471
Boid46,Boid3,.471
Boid47,Boid19,.471
Boid48,Boid3,.471
Boid49,Boid11,.471
Boid0,Boid10,.494
Boid1,Boid47,.494
Boid2,Boid47,.494
Boid3,Boid10,.494
Boid4,Boid47,.494
Boid5,Boid4,.494
Boid6,Boid47,.494
Boid7,Boid38,.494
Boid8,Boid10,.494
Boid9,Boid22,.494
Boid10,Boid47,.494
Boid11,Boid6,.494
Boid12,Boid47,.494
Boid13,Boid10,.494
Boid14,Boid22,.494
Boid15,Boid3,.494
Boid16,Boid10,.494
Boid17,Boid4,.494
Boid18,Boid8,.494
Boid19,Boid4,.494
Boid20,Boid10,.494
Boid21,Boid9,.494
Boid22,Boid4,.494
Boid23,Boid10,.494
Boid24,Boid17,.494
Boid25,Boid4,.494
Boid26,Boid10,.494
Boid27,Boid10,.494
Boid28,Boid10,.494
Boid29,Boid10,.494
Boid30,Boid10,.494
Boid31,Boid3,.494
Boid32,Boid4,.494
Boid33,Boid10,.494
Boid34,Boid13,.494
Boid35,Boid47,.494
Boid36,Boid45,.494
Boid37,Boid3,.494
Boid38,Boid4,.494
Boid39,Boid8,.494
Boid40,Boid11,.494
Boid41,Boid10,.494
Boid42,Boid48,.494
Boid43,Boid47,.494
Boid44,Boid10,.494
Boid45,Boid3,.494
Boid46,Boid3,.494
Boid47,Boid4,.494
Boid48,Boid10,.494
Boid49,Boid48,.494
Boid0,Boid8,.524
Boid1,Boid47,.524
Boid2,Boid5,.524
Boid3,Boid8,.524
Boid4,Boid9,.524
Boid5,Boid9,.524
Boid6,Boid5,.524
Boid7,Boid9,.524
Boid8,Boid16,.524
Boid9,Boid21,.524
Boid10,Boid5,.524
Boid11,Boid25,.524
Boid12,Boid5,.524
Boid13,Boid8,.524
Boid14,Boid9,.524
Boid15,Boid12,.524
Boid16,Boid8,.524
Boid17,Boid9,.524
Boid18,Boid8,.524
Boid19,Boid9,.524
Boid20,Boid8,.524
Boid21,Boid9,.524
Boid22,Boid9,.524
Boid23,Boid26,.524
Boid24,Boid9,.524
Boid25,Boid5,.524
Boid26,Boid16,.524
Boid27,Boid16,.524
Boid28,Boid16,.524
Boid29,Boid8,.524
Boid30,Boid5,.524
Boid31,Boid12,.524
Boid32,Boid9,.524
Boid33,Boid8,.524
Boid34,Boid12,.524
Boid35,Boid9,.524
Boid36,Boid49,.524
Boid37,Boid27,.524
Boid38,Boid9,.524
Boid39,Boid8,.524
Boid40,Boid49,.524
Boid41,Boid26,.524
Boid42,Boid48,.524
Boid43,Boid5,.524
Boid44,Boid8,.524
Boid45,Boid44,.524
Boid46,Boid27,.524
Boid47,Boid9,.524
Boid48,Boid8,.524
Boid49,Boid48,.524
Boid0,Boid8,.552
Boid1,Boid47,.552
Boid2,Boid47,.552
Boid3,Boid8,.552
Boid4,Boid47,.552
Boid5,Boid4,.552
Boid6,Boid47,.552
Boid7,Boid9,.552
Boid8,Boid16,.552
Boid9,Boid4,.552
Boid10,Boid47,.552
Boid11,Boid25,.552
Boid12,Boid47,.552
Boid13,Boid8,.552
Boid14,Boid7,.552
Boid15,Boid44,.552
Boid16,Boid8,.552
Boid17,Boid4,.552
Boid18,Boid8,.552
Boid19,Boid47,.552
Boid20,Boid8,.552
Boid21,Boid7,.552
Boid22,Boid4,.552
Boid23,Boid26,.552
