Boid,Speed
Boid70,169.6043
Boid71,1103.502
Boid72,1479.324
Boid73,1985.958
Boid74,152.7304
Boid75,1047.271
Boid76,1390.887
Boid77,1542.852
Boid78,1890.921
Boid79,1733.225
Boid80,1503.338
Boid81,425.0826
Boid82,653.3207
Boid83,1129.923
Boid84,1135.25
Boid85,1550.774
Boid86,1861.459
Boid87,897.5031
Boid88,418.6958
Boid89,1662.833
Boid90,435.1271
Boid91,1981.609
Boid92,1346.826
Boid93,900.4581
Boid94,2082.712
Boid95,1235.597
Boid96,568.9597
Boid97,1505.071
Boid98,642.2291
Boid99,1363.057
Boid100,931.628
Boid101,1751.936
Boid102,1205.721
Boid103,844.1699
Boid104,543.4479
Boid105,1401.219
Boid106,728.681
Boid107,1458.935
Boid108,1857.164
Boid109,1068.802
Boid110,1413.818
Boid111,1221.716
Boid112,417.0954
Boid113,76.33809
Boid114,1033.416
Boid115,1493.352
Boid116,1308.92
Boid117,1461.334
Boid118,570.7054
Boid119,1331.264
Boid120,455.0115
Boid121,1310.866
Boid122,1890.028
Boid123,388.9815
Boid124,1168.669
Boid125,541.3965
Boid126,689.2734
Boid127,1670.823
Boid128,1705.085
Boid129,774.0813
Boid130,1236.826
Boid131,1124.155
Boid132,1002.035
Boid133,907.0233
Boid134,1023.749
Boid135,1373.119
Boid136,452.9355
Boid137,1078.146
Boid138,296.3717
Boid139,667.0442
Boid140,1514.138
Boid141,809.1531
Boid142,1060.595
Boid143,1031.337
Boid144,1904.554
Boid145,1492.64
Boid146,1232.362
Boid147,358.7225
Boid148,638.1485
Boid149,1652.027
Boid150,2098.037
Boid151,1984.927
Boid152,1327.382
Boid153,967.0449
Boid154,2070.505
Boid155,1662.876
Boid156,1117.91
Boid157,1167.706
Boid158,2134.733
Boid159,1745.533
Boid160,1692.919
Boid161,1072.923
Boid162,1634.749
Boid163,527.901
Boid164,337.2584
Boid165,739.0474
Boid166,1038.741
Boid167,89.33037
Boid168,1495.439
Boid169,1031.379
Boid170,913.6249
Boid171,1121.818
Boid172,2346.536
Boid173,1475.055
Boid174,1521.587
Boid175,1540.801
Boid176,1818.986
Boid177,1152.977
Boid178,785.4496
Boid179,1733.844
Boid180,1797.849
Boid181,1025.604
Boid182,707.7378
Boid183,1030.309
Boid184,1457.798
Boid185,1887.308
Boid186,987.0829
Boid187,2193.815
Boid188,2051.725
Boid189,2164.318
Boid190,1365.946
Boid191,937.9041
Boid192,495.2743
Boid193,1204.334
Boid194,919.0372
Boid195,2193.13
Boid196,1978.771
Boid197,1531.655
Boid198,164.9497
Boid199,399.402
Boid200,436.7958
Boid201,1206.456
Boid202,1327.596
Boid203,1944.542
Boid204,1744.568
Boid205,708.6971
Boid206,1052.692
Boid207,1010.67
Boid208,865.6087
Boid209,413.5262
Boid210,1141.448
Boid211,1983.331
