Boid,Speed,Time,
Boid0,1.551,.000
Boid1,5.285,.000
Boid2,1.933,.000
Boid3,4.222,.000
Boid4,3.347,.000
Boid5,6.378,.000
Boid6,4.128,.000
Boid7,8.373,.000
Boid8,1.040,.000
Boid9,3.588,.000
Boid10,5.590,.000
Boid11,5.431,.000
Boid12,2.492,.000
Boid13,4.417,.000
Boid14,5.269,.000
Boid15,8.818,.000
Boid16,6.682,.000
Boid17,4.890,.000
Boid18,4.234,.000
Boid19,5.128,.000
Boid20,5.137,.000
Boid21,2.783,.000
Boid22,3.898,.000
Boid23,.602,.000
Boid24,6.135,.000
Boid25,5.401,.000
Boid26,5.453,.000
Boid27,5.828,.000
Boid28,1.277,.000
Boid29,4.285,.000
Boid30,4.073,.000
Boid31,3.283,.000
Boid32,6.161,.000
Boid33,5.189,.000
Boid34,6.279,.000
Boid35,7.952,.000
Boid36,2.891,.000
Boid37,5.353,.000
Boid38,3.868,.000
Boid39,5.160,.000
Boid40,1.780,.000
Boid41,5.676,.000
Boid42,3.019,.000
Boid43,2.604,.000
Boid44,5.230,.000
Boid45,3.421,.000
Boid46,3.274,.000
Boid47,.657,.000
Boid48,2.921,.000
Boid49,5.523,.000
Boid50,9.409,.000
Boid51,8.017,.000
Boid52,4.632,.000
Boid53,4.663,.000
Boid54,4.590,.000
Boid55,5.976,.000
Boid56,.819,.000
Boid57,4.389,.000
Boid58,6.293,.000
Boid59,10.778,.000
Boid60,3.016,.000
Boid61,.779,.000
Boid62,5.134,.000
Boid63,2.556,.000
Boid64,5.083,.000
Boid65,6.052,.000
Boid66,7.482,.000
Boid67,3.044,.000
Boid68,4.032,.000
Boid69,3.519,.000
Boid70,2.622,.000
Boid71,3.766,.000
Boid72,5.237,.000
Boid73,5.874,.000
Boid74,.342,.000
Boid75,7.777,.000
Boid76,1.468,.000
Boid77,4.261,.000
Boid78,3.278,.000
Boid79,5.418,.000
Boid80,2.828,.000
Boid81,2.955,.000
Boid82,4.366,.000
Boid83,3.796,.000
Boid84,2.126,.000
Boid85,2.058,.000
Boid86,3.902,.000
Boid87,2.949,.000
Boid88,3.498,.000
Boid89,3.958,.000
Boid90,4.690,.000
Boid91,5.332,.000
Boid92,5.029,.000
Boid93,6.663,.000
Boid94,2.408,.000
Boid95,2.914,.000
Boid96,.781,.000
Boid97,6.220,.000
Boid98,5.345,.000
Boid99,5.319,.000
Boid100,2.215,.000
Boid101,.192,.000
Boid102,1.020,.000
Boid103,.156,.000
Boid104,5.645,.000
Boid105,3.365,.000
Boid106,4.305,.000
Boid107,4.751,.000
Boid108,2.967,.000
Boid109,.749,.000
Boid110,3.391,.000
Boid111,2.332,.000
Boid112,4.773,.000
Boid113,4.158,.000
Boid114,3.650,.000
Boid115,2.838,.000
Boid116,5.119,.000
Boid117,3.690,.000
Boid118,3.907,.000
Boid119,1.478,.000
Boid120,6.480,.000
Boid121,7.400,.000
Boid122,2.488,.000
Boid123,4.969,.000
Boid124,4.635,.000
Boid125,4.611,.000
Boid126,6.885,.000
Boid127,5.458,.000
Boid128,4.248,.000
Boid129,4.485,.000
Boid130,5.159,.000
Boid131,.521,.000
Boid132,2.888,.000
Boid133,2.713,.000
Boid134,.656,.000
Boid135,2.005,.000
Boid136,5.983,.000
Boid137,3.387,.000
Boid138,5.592,.000
Boid139,6.392,.000
Boid140,2.306,.000
Boid141,4.826,.000
Boid142,4.769,.000
Boid143,3.545,.000
Boid144,5.162,.000
Boid145,5.578,.000
Boid146,6.332,.000
Boid147,2.850,.000
Boid148,3.542,.000
Boid149,2.616,.000
Boid0,4.163,.020
Boid1,5.635,.020
Boid2,2.264,.020
Boid3,3.599,.020
Boid4,3.651,.020
Boid5,6.702,.020
Boid6,4.615,.020
Boid7,8.522,.020
Boid8,1.506,.020
Boid9,3.691,.020
Boid10,5.694,.020
Boid11,5.495,.020
Boid12,3.787,.020
Boid13,4.598,.020
Boid14,5.584,.020
Boid15,8.901,.020
Boid16,6.930,.020
Boid17,3.871,.020
Boid18,4.602,.020
Boid19,5.150,.020
Boid20,5.107,.020
Boid21,3.108,.020
Boid22,4.330,.020
Boid23,1.355,.020
Boid24,6.379,.020
Boid25,5.439,.020
Boid26,7.408,.020
Boid27,6.076,.020
Boid28,1.553,.020
Boid29,7.748,.020
Boid30,4.453,.020
Boid31,3.380,.020
Boid32,6.338,.020
Boid33,5.646,.020
Boid34,6.561,.020
Boid35,8.525,.020
Boid36,2.991,.020
Boid37,5.621,.020
Boid38,4.307,.020
Boid39,5.454,.020
Boid40,2.209,.020
Boid41,6.019,.020
Boid42,3.609,.020
Boid43,3.118,.020
Boid44,5.444,.020
Boid45,2.433,.020
Boid46,3.480,.020
